latitude,longitude,pH
-76.5,163.5,8.124229157355458
-76.5,164.5,8.079430402327098
-76.5,165.5,8.085033247062407
-76.5,166.5,8.07867386401996
-76.5,167.5,8.080323963778069
-76.5,168.5,8.078774016358016
-76.5,169.5,8.070424518252219
-76.5,170.5,8.067041580797474
-76.5,171.5,8.070343665693933
-76.5,172.5,8.075378670448861
-76.5,173.5,8.074723838168346
-76.5,174.5,8.07765330214073
-76.5,175.5,8.08089400731568
-76.5,176.5,8.076109063328884
-76.5,177.5,8.078783330481363
-76.5,178.5,8.07435848297476
-76.5,179.5,8.072980912262297
-76.5,180.5,8.074614095626726
-76.5,181.5,8.076904144329538
-76.5,182.5,8.074583926440697
-76.5,183.5,8.072686551459848
-76.5,184.5,8.07313581480069
-76.5,185.5,8.073216945913304
-76.5,186.5,8.073454126095609
-76.5,187.5,8.074328517772184
-76.5,188.5,8.074534838734069
-76.5,189.5,8.06798636052626
-76.5,190.5,8.066284991354717
-76.5,191.5,8.073528245308037
-76.5,192.5,8.080492358082468
-76.5,193.5,8.084568715400435
-76.5,194.5,8.084212436485851
-76.5,195.5,8.091887064642059
-76.5,196.5,8.095106203343295
-76.5,197.5,8.091945224662945
-76.5,198.5,8.087700234887395
-76.5,199.5,8.088907254975826
-76.5,200.5,8.088778206652455
-76.5,201.5,8.083182999294925
-76.5,202.5,8.072682972021136
-76.5,203.5,8.073578905338499
-76.5,204.5,8.072929895850214
-76.5,205.5,8.075628375486419
-76.5,206.5,8.072445585404486
-76.5,207.5,8.063959412869995
-76.5,208.5,8.078408460430483
-76.5,307.5,8.066920895780221
-76.5,308.5,8.06942138881089
-76.5,309.5,8.067520667765923
-76.5,310.5,8.049336111410609
-76.5,311.5,8.0487942059914
-76.5,312.5,8.05127950821677
-76.5,313.5,8.051987590615012
-76.5,314.5,8.05238652140705
-76.5,315.5,8.046306370450687
-76.5,316.5,8.04594064969213
-76.5,317.5,8.04483105792414
-76.5,318.5,8.042683756044712
-76.5,319.5,8.042219563297442
-76.5,320.5,8.045134260670062
-76.5,321.5,8.044703472716328
-76.5,322.5,8.043882298858371
-76.5,323.5,8.04712938444809
-76.5,324.5,8.047600725696897
-76.5,325.5,8.053477015688175
-76.5,326.5,8.06117464289897
-76.5,327.5,8.073812103685013
-76.5,328.5,8.066964490690072
-76.5,329.5,8.069253499051362
-75.5,163.5,8.087894848959863
-75.5,164.5,8.072121612454653
-75.5,165.5,8.072603798445817
-75.5,166.5,8.075778329071214
-75.5,167.5,8.077916389931428
-75.5,168.5,8.079512925395221
-75.5,169.5,8.0725860651474
-75.5,170.5,8.064896620828089
-75.5,171.5,8.066531069418314
-75.5,172.5,8.06553838424449
-75.5,173.5,8.066454782277164
-75.5,174.5,8.06311047162024
-75.5,175.5,8.065410349245335
-75.5,176.5,8.068188499616234
-75.5,177.5,8.060406453351023
-75.5,178.5,8.062605943657568
-75.5,179.5,8.064284350636614
-75.5,180.5,8.06617014028725
-75.5,181.5,8.069754408154951
-75.5,182.5,8.069185751218642
-75.5,183.5,8.06548784664124
-75.5,184.5,8.06296386348963
-75.5,185.5,8.062650511591267
-75.5,186.5,8.061638250338943
