latitude,longitude,pH
-76.5,163.5,8.08300045901733
-76.5,164.5,8.063818640850252
-76.5,165.5,8.073120821400272
-76.5,166.5,8.076248813705375
-76.5,167.5,8.07947310687976
-76.5,168.5,8.079421278512834
-76.5,169.5,8.084748696728944
-76.5,170.5,8.079326486170226
-76.5,171.5,8.084014445981824
-76.5,172.5,8.087781427848938
-76.5,173.5,8.082443183401951
-76.5,174.5,8.09351627951808
-76.5,175.5,8.092091180110062
-76.5,176.5,8.090511052715028
-76.5,177.5,8.080586393269398
-76.5,178.5,8.075482450683296
-76.5,179.5,8.068371639516835
-76.5,180.5,8.06470199290701
-76.5,181.5,8.065902274932625
-76.5,182.5,8.067388797202298
-76.5,183.5,8.068105732118301
-76.5,184.5,8.070009059920794
-76.5,185.5,8.07247038619379
-76.5,186.5,8.077441183864456
-76.5,187.5,8.081847581333964
-76.5,188.5,8.083917294275686
-76.5,189.5,8.081712474636847
-76.5,190.5,8.084302852177006
-76.5,191.5,8.089671611693278
-76.5,192.5,8.096425480290133
-76.5,193.5,8.093662741119926
-76.5,194.5,8.085890085291819
-76.5,195.5,8.086813778267535
-76.5,196.5,8.089141301756882
-76.5,197.5,8.09087477048561
-76.5,198.5,8.10163900691885
-76.5,199.5,8.104853887181706
-76.5,200.5,8.106794907540243
-76.5,201.5,8.099165944285103
-76.5,202.5,8.099523552943282
-76.5,203.5,8.104878758091091
-76.5,204.5,8.106223117481436
-76.5,205.5,8.104330118699723
-76.5,206.5,8.100416951606357
-76.5,207.5,8.0881227124763
-76.5,208.5,8.083538056957204
-76.5,307.5,8.061903068884702
-76.5,308.5,8.06608854812527
-76.5,309.5,8.07349995484101
-76.5,310.5,8.050687787224726
-76.5,311.5,8.05249407174724
-76.5,312.5,8.052929107572853
-76.5,313.5,8.052163404370004
-76.5,314.5,8.050990080894069
-76.5,315.5,8.048082398224286
-76.5,316.5,8.043332347034015
-76.5,317.5,8.04452733180568
-76.5,318.5,8.043385631334932
-76.5,319.5,8.045489674103768
-76.5,320.5,8.048552239954821
-76.5,321.5,8.047862089905257
-76.5,322.5,8.049442967416217
-76.5,323.5,8.050491293317828
-76.5,324.5,8.050902655271885
-76.5,325.5,8.05499725394892
-76.5,326.5,8.061705888691975
-76.5,327.5,8.064205619203841
-76.5,328.5,8.0705940490487
-76.5,329.5,8.097828769900765
-75.5,163.5,8.078145825724885
-75.5,164.5,8.066763181503289
-75.5,165.5,8.06787252931996
-75.5,166.5,8.074911120835303
-75.5,167.5,8.073899685603044
-75.5,168.5,8.07735065113239
-75.5,169.5,8.072556143330045
-75.5,170.5,8.067637343125742
-75.5,171.5,8.080561217961929
-75.5,172.5,8.08263962094969
-75.5,173.5,8.084108449368989
-75.5,174.5,8.080355589805029
-75.5,175.5,8.081939828994663
-75.5,176.5,8.080252802947824
-75.5,177.5,8.070147048280868
-75.5,178.5,8.06960638319215
-75.5,179.5,8.07023457495796
-75.5,180.5,8.063700965327412
-75.5,181.5,8.064825281851222
-75.5,182.5,8.062798822746126
-75.5,183.5,8.064060813303362
