latitude,longitude,pH
-76.5,163.5,8.088688918471686
-76.5,164.5,8.077731531801822
-76.5,165.5,8.079626789907463
-76.5,166.5,8.086227637294789
-76.5,167.5,8.08635299696011
-76.5,168.5,8.083640714776822
-76.5,169.5,8.072181226951747
-76.5,170.5,8.078647542004752
-76.5,171.5,8.0794503483546
-76.5,172.5,8.088751413724749
-76.5,173.5,8.081869534700987
-76.5,174.5,8.083140285232997
-76.5,175.5,8.085484298740978
-76.5,176.5,8.087861727614825
-76.5,177.5,8.086441663660034
-76.5,178.5,8.085174322736567
-76.5,179.5,8.086504314376425
-76.5,180.5,8.08136538752608
-76.5,181.5,8.09415167085841
-76.5,182.5,8.090083258644286
-76.5,183.5,8.08767758417266
-76.5,184.5,8.089586537166719
-76.5,185.5,8.088274113201903
-76.5,186.5,8.08909131241093
-76.5,187.5,8.0905287887227
-76.5,188.5,8.09160787656363
-76.5,189.5,8.087585196332041
-76.5,190.5,8.085669957659054
-76.5,191.5,8.089715251294313
-76.5,192.5,8.095118946766007
-76.5,193.5,8.09744442253085
-76.5,194.5,8.091925414750369
-76.5,195.5,8.092560941689086
-76.5,196.5,8.094585262639887
-76.5,197.5,8.096688591466231
-76.5,198.5,8.094190886133978
-76.5,199.5,8.096234020976532
-76.5,200.5,8.093848005043679
-76.5,201.5,8.08646628875848
-76.5,202.5,8.080894099722027
-76.5,203.5,8.078355671827454
-76.5,204.5,8.080809560838047
-76.5,205.5,8.083378974111477
-76.5,206.5,8.079781359336915
-76.5,207.5,8.069927597457072
-76.5,208.5,8.083846989214958
-76.5,307.5,8.061525561764185
-76.5,308.5,8.061156056867734
-76.5,309.5,8.061287248671476
-76.5,310.5,8.048463485410123
-76.5,311.5,8.04771845890793
-76.5,312.5,8.04779375648354
-76.5,313.5,8.048099389207634
-76.5,314.5,8.047525388947566
-76.5,315.5,8.04542043812003
-76.5,316.5,8.044707023789426
-76.5,317.5,8.043153747206073
-76.5,318.5,8.042684451181177
-76.5,319.5,8.04364532235459
-76.5,320.5,8.048569038936611
