latitude,longitude,pH
-76.5,163.5,8.074307257599829
-76.5,164.5,8.068019894273563
-76.5,165.5,8.071775277169204
-76.5,166.5,8.068338205938216
-76.5,167.5,8.075618874651722
-76.5,168.5,8.076734783520067
-76.5,169.5,8.073145027586987
-76.5,170.5,8.072569982782213
-76.5,171.5,8.073022505134931
-76.5,172.5,8.073247669878828
-76.5,173.5,8.06918526393668
-76.5,174.5,8.0709963296219
-76.5,175.5,8.074021870930011
-76.5,176.5,8.076295422913415
-76.5,177.5,8.076027523275323
-76.5,178.5,8.073425124813497
-76.5,179.5,8.072930763856737
-76.5,180.5,8.07879492354027
-76.5,181.5,8.076596596828288
-76.5,182.5,8.072405863732394
-76.5,183.5,8.071843305024156
-76.5,184.5,8.073364108117461
-76.5,185.5,8.073124094214455
-76.5,186.5,8.073720689317588
-76.5,187.5,8.072387446549799
-76.5,188.5,8.075422229767923
-76.5,189.5,8.072801071230918
-76.5,190.5,8.068771970023434
-76.5,191.5,8.077269164093982
-76.5,192.5,8.082240720012207
-76.5,193.5,8.086176774357675
-76.5,194.5,8.08058704854513
-76.5,195.5,8.084275651875842
-76.5,196.5,8.085165954129423
-76.5,197.5,8.07961063739257
-76.5,198.5,8.088716849084973
-76.5,199.5,8.096022925239955
-76.5,200.5,8.094931888510745
-76.5,201.5,8.083584816763024
-76.5,202.5,8.083196717501048
-76.5,203.5,8.086046290290215
-76.5,204.5,8.089904739833727
-76.5,205.5,8.089751501080434
-76.5,206.5,8.089076467839954
-76.5,207.5,8.07061298234087
-76.5,208.5,8.073970391944663
-76.5,307.5,8.09431482339668
-76.5,308.5,8.089467278828119
-76.5,309.5,8.092908750652402
-76.5,310.5,8.056465463744575
-76.5,311.5,8.055880538041572
-76.5,312.5,8.057131603673298
-76.5,313.5,8.056669108275111
-76.5,314.5,8.051056158716506
-76.5,315.5,8.051149035174541
-76.5,316.5,8.046820529846544
-76.5,317.5,8.049871812891288
-76.5,318.5,8.050179509756626
-76.5,319.5,8.051846102378935
-76.5,320.5,8.056736769610112
-76.5,321.5,8.05764937511016
-76.5,322.5,8.060342651426303
-76.5,323.5,8.065610635747824
-76.5,324.5,8.072378157415935
-76.5,325.5,8.07147527914272
-76.5,326.5,8.078052529793665
-76.5,327.5,8.066870492902348
-76.5,328.5,8.068842182600648
-76.5,329.5,8.096030110206673
-75.5,163.5,8.073366814040995
-75.5,164.5,8.063210515626304
-75.5,165.5,8.062076870147473
-75.5,166.5,8.064537753802059
-75.5,167.5,8.063775107081765
-75.5,168.5,8.071682590434413
-75.5,169.5,8.073349768432177
-75.5,170.5,8.073380569947396
-75.5,171.5,8.071317828042046
-75.5,172.5,8.071950523897408
-75.5,173.5,8.07213160371184
-75.5,174.5,8.071587108340838
-75.5,175.5,8.070292009721546
-75.5,176.5,8.069063518279927
-75.5,177.5,8.062913475160455
-75.5,178.5,8.063305469188618
-75.5,179.5,8.062415363458523
-75.5,180.5,8.061960454667911
-75.5,181.5,8.06801493676512
-75.5,182.5,8.066962635501037
-75.5,183.5,8.06357053635636
-75.5,184.5,8.061585446569376
-75.5,185.5,8.06371114203553
-75.5,186.5,8.061205429822353
-75.5,187.5,8.066708589623758
-75.5,188.5,8.06457262999204
-75.5,189.5,8.064711716168448
-75.5,190.5,8.067493172464548
-75.5,191.5,8.070726133653142
-75.5,192.5,8.068652511690493
-75.5,193.5,8.069635985353239
-75.5,194.5,8.077667908769554
-75.5,195.5,8.081193034216932
-75.5,196.5,8.084048411056438
-75.5,197.5,8.081159709333901
-75.5,198.5,8.082578286498737
-75.5,199.5,8.085006879749633
-75.5,200.5,8.0872497404667
-75.5,201.5,8.092528611451849
-75.5,202.5,8.091402017501409
-75.5,203.5,8.08672818060059
-75.5,204.5,8.08152080768995
-75.5,205.5,8.084210521079777
-75.5,206.5,8.081766767967588
-75.5,207.5,8.082681299926632
-75.5,208.5,8.080571217436331
-75.5,209.5,8.087471953653258
-75.5,210.5,8.083889130619195
-75.5,211.5,8.090253058596318
-75.5,212.5,8.08687213714038
-75.5,213.5,8.085912106895382
-75.5,302.5,8.067073374670787
-75.5,303.5,8.066512809843884
-75.5,304.5,8.049524988452879
-75.5,305.5,8.048225733877517
-75.5,306.5,8.04525643145423
-75.5,307.5,8.043796888030984
-75.5,308.5,8.040271249914571
-75.5,309.5,8.04465263606687
-75.5,310.5,8.043371671755327
-75.5,311.5,8.048662807791542
-75.5,312.5,8.046662271848865
-75.5,313.5,8.047334962379715
-75.5,314.5,8.047566534730516
-75.5,315.5,8.047849432319865
-75.5,316.5,8.047157801772952
-75.5,317.5,8.049854244989271
-75.5,318.5,8.049311643740635
-75.5,319.5,8.052279639054055
-75.5,320.5,8.052220341371084
-75.5,321.5,8.05174797262068
-75.5,322.5,8.050808164782904
-75.5,323.5,8.049918517163631
-75.5,324.5,8.049013097014454
-75.5,325.5,8.05159243546597
-75.5,326.5,8.055703736992006
-75.5,327.5,8.058364291370129
-75.5,328.5,8.065411614553465
-75.5,329.5,8.067942722955676
-75.5,330.5,8.064300013562697
-75.5,331.5,8.064305445658624
-75.5,332.5,8.062790226630527
-74.5,165.5,8.093306189113452
-74.5,166.5,8.06356420212931
-74.5,167.5,8.059925001588192
-74.5,168.5,8.059155475495698
-74.5,169.5,8.066376314664648
-74.5,170.5,8.063989344673509
-74.5,171.5,8.063938357487267
-74.5,172.5,8.0636700693471
-74.5,173.5,8.063462875570101
-74.5,174.5,8.063316016797675
-74.5,175.5,8.063225865800302
-74.5,176.5,8.06268718531714
-74.5,177.5,8.061519968312188
-74.5,178.5,8.06079614368426
-74.5,179.5,8.060408914307326
-74.5,180.5,8.059939028968618
-74.5,181.5,8.059503964119992
-74.5,182.5,8.059335385198581
-74.5,183.5,8.059416564369261
-74.5,184.5,8.059666042088637
-74.5,185.5,8.059681918671995
-74.5,186.5,8.059895132778053
-74.5,187.5,8.06038784670889
-74.5,188.5,8.061162825381794
-74.5,189.5,8.06204293708389
-74.5,190.5,8.062776871539686
-74.5,191.5,8.06377050738517
-74.5,192.5,8.064656705414565
-74.5,193.5,8.065312130837002
-74.5,194.5,8.066091433596341
-74.5,195.5,8.066955385053747
-74.5,196.5,8.067724094780738
-74.5,197.5,8.070331071791788
-74.5,198.5,8.069145739542666
-74.5,199.5,8.07035080437178
-74.5,200.5,8.069385610302088
-74.5,201.5,8.06970028115524
-74.5,202.5,8.070431645356875
-74.5,203.5,8.070253668375363
-74.5,204.5,8.072637618855525
-74.5,205.5,8.074533979575515
-74.5,206.5,8.074166719609329
-74.5,207.5,8.073004937676751
-74.5,208.5,8.079908594025886
-74.5,209.5,8.078451870257902
