latitude,longitude,pH
-76.5,163.5,8.091112592472927
-76.5,164.5,8.075668927979466
-76.5,165.5,8.078286079958206
-76.5,166.5,8.072396137698034
-76.5,167.5,8.074275348870467
-76.5,168.5,8.077383725159214
-76.5,169.5,8.079231765086684
-76.5,170.5,8.076622269206533
-76.5,171.5,8.077465776879926
-76.5,172.5,8.094490800219015
-76.5,173.5,8.096901622308046
-76.5,174.5,8.08797212195432
-76.5,175.5,8.084912720304422
-76.5,176.5,8.092868921458505
-76.5,177.5,8.091653532628747
-76.5,178.5,8.098703000861159
-76.5,179.5,8.083898473953102
-76.5,180.5,8.077350971270025
-76.5,181.5,8.079369440543358
-76.5,182.5,8.064877751154185
-76.5,183.5,8.066206616816507
-76.5,184.5,8.06549020454342
-76.5,185.5,8.063592622332278
-76.5,186.5,8.065506027489464
-76.5,187.5,8.06769588761138
-76.5,188.5,8.067671205546757
-76.5,189.5,8.068262191627499
-76.5,190.5,8.065934887694434
-76.5,191.5,8.075396891261022
-76.5,192.5,8.078920335009519
-76.5,193.5,8.078314402544164
-76.5,194.5,8.076634566839056
-76.5,195.5,8.075481677713793
-76.5,196.5,8.080689585759634
-76.5,197.5,8.085691217339003
-76.5,198.5,8.079034541879258
-76.5,199.5,8.092066962389906
-76.5,200.5,8.079007610208555
-76.5,201.5,8.073361886549286
-76.5,202.5,8.07162484205209
-76.5,203.5,8.072004970072445
-76.5,204.5,8.070542112721187
-76.5,205.5,8.071214288533891
-76.5,206.5,8.067587462509737
-76.5,207.5,8.066442688726063
-76.5,208.5,8.077560637033065
-76.5,307.5,8.06168294729421
-76.5,308.5,8.063973813045546
-76.5,309.5,8.065596701917505
-76.5,310.5,8.048536344054991
-76.5,311.5,8.046058758343973
-76.5,312.5,8.047168096111337
-76.5,313.5,8.04554024851361
-76.5,314.5,8.045155623709114
-76.5,315.5,8.043865759168579
-76.5,316.5,8.044558532622368
-76.5,317.5,8.047212550531048
-76.5,318.5,8.046929499126788
-76.5,319.5,8.0469067278789
-76.5,320.5,8.046620017170302
-76.5,321.5,8.045640722244324
-76.5,322.5,8.043865774588825
-76.5,323.5,8.04393705072995
-76.5,324.5,8.044837336513696
-76.5,325.5,8.046124202603407
-76.5,326.5,8.050130975588216
-76.5,327.5,8.056086116562822
-76.5,328.5,8.061639627344219
-76.5,329.5,8.075947954155467
-75.5,163.5,8.077025504320883
-75.5,164.5,8.066969442297141
-75.5,165.5,8.065782390346252
-75.5,166.5,8.075878452197072
-75.5,167.5,8.075868508076834
-75.5,168.5,8.08026968131034
-75.5,169.5,8.079858087051155
-75.5,170.5,8.073379596637672
-75.5,171.5,8.084043142088776
-75.5,172.5,8.08110232089765
-75.5,173.5,8.082167546487572
-75.5,174.5,8.08618192033753
-75.5,175.5,8.084261681569757
-75.5,176.5,8.07779468952696
-75.5,177.5,8.063482305746703
