latitude,longitude,pH
-76.5,163.5,8.09922586017013
-76.5,164.5,8.078187257787457
-76.5,165.5,8.090723878208246
-76.5,166.5,8.085082149021535
-76.5,167.5,8.070817251524034
-76.5,168.5,8.076017866971783
-76.5,169.5,8.068632313743695
-76.5,170.5,8.074194986079808
-76.5,171.5,8.079407089996666
-76.5,172.5,8.084370104864913
-76.5,173.5,8.086013265799249
-76.5,174.5,8.085258582446015
-76.5,175.5,8.083625966230171
-76.5,176.5,8.081596158756993
-76.5,177.5,8.078609737088227
-76.5,178.5,8.08092926893529
-76.5,179.5,8.080520357051796
-76.5,180.5,8.076075589444121
-76.5,181.5,8.075427440857519
-76.5,182.5,8.075502625275258
-76.5,183.5,8.07456955564315
-76.5,184.5,8.078804931687309
-76.5,185.5,8.076569200155708
-76.5,186.5,8.07206916604027
-76.5,187.5,8.068398951214865
-76.5,188.5,8.067701744585465
-76.5,189.5,8.06233327212152
-76.5,190.5,8.064098719868893
-76.5,191.5,8.068459155357521
-76.5,192.5,8.07333947220547
-76.5,193.5,8.07223211816624
-76.5,194.5,8.096632737115325
-76.5,195.5,8.102969028840503
-76.5,196.5,8.103496173250255
-76.5,197.5,8.108048367280809
-76.5,198.5,8.114944376252788
-76.5,199.5,8.119570075753858
-76.5,200.5,8.076844530407712
-76.5,201.5,8.075031143359261
-76.5,202.5,8.081708642227026
-76.5,203.5,8.108978760006849
-76.5,204.5,8.109254932646882
-76.5,205.5,8.109883584692666
-76.5,206.5,8.099015495729354
-76.5,207.5,8.06370156835184
-76.5,208.5,8.080833650717226
-76.5,307.5,8.086374698318567
-76.5,308.5,8.089116025760303
-76.5,309.5,8.078236604762042
-76.5,310.5,8.05730591849053
-76.5,311.5,8.059082716082287
-76.5,312.5,8.05828517588696
-76.5,313.5,8.059691483821272
-76.5,314.5,8.056592119641445
-76.5,315.5,8.054250276658143
-76.5,316.5,8.048787579155467
-76.5,317.5,8.047839837016344
-76.5,318.5,8.048020701282786
-76.5,319.5,8.054957696483738
-76.5,320.5,8.060921137258754
-76.5,321.5,8.057989819310258
-76.5,322.5,8.064471904361284
-76.5,323.5,8.070650052069846
-76.5,324.5,8.076075983745524
-76.5,325.5,8.068829672626123
-76.5,326.5,8.077324183145732
-76.5,327.5,8.083331347530235
-76.5,328.5,8.081162856933974
-76.5,329.5,8.110336355148627
-75.5,163.5,8.084283123868845
-75.5,164.5,8.068543986062586
-75.5,165.5,8.072954976161329
-75.5,166.5,8.077881620348933
-75.5,167.5,8.075798711333933
-75.5,168.5,8.094762951633632
-75.5,169.5,8.082353731179408
-75.5,170.5,8.086196257421582
-75.5,171.5,8.086992366587804
-75.5,172.5,8.0887467187941
-75.5,173.5,8.08962113715249
-75.5,174.5,8.081933475400438
-75.5,175.5,8.077372264021653
-75.5,176.5,8.083679656973837
-75.5,177.5,8.077066773397972
-75.5,178.5,8.075089548743092
-75.5,179.5,8.079011495480648
-75.5,180.5,8.075477043379149
