date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,average
1.0,8.096543621199222,8.091702100745827,8.09054189372209,8.089259876557463,8.086044678860338,8.08397063966681,8.082919835191602,8.08095058826858,8.080424196558006,8.080028958470914,8.086238638924085
2.0,8.094928275370819,8.088252439888631,8.087856456343621,8.088650306845311,8.085901453310843,8.084784557300317,8.082566750627933,8.081289520252158,8.080671188304402,8.079989019497502,8.085488996774155
3.0,8.095784712599206,8.09141884564195,8.090043952992362,8.090935260512241,8.090253580145003,8.086256215997526,8.085445475126017,8.086037590028024,8.081553450017207,8.08346026921047,8.088118935227001
4.0,8.09970972138185,8.096449628016586,8.092370629576548,8.093869308317906,8.091575431441706,8.08810252563047,8.087222758463644,8.089822264207045,8.084495577746841,8.085603072933182,8.090922091771578
5.0,8.092521046768091,8.092416483439479,8.088561368621091,8.092483429729597,8.084731595637006,8.08344658020924,8.083953025209793,8.081571482373404,8.084500983951576,8.077980465285513,8.08621664612248
6.0,8.081704759540234,8.078862757675502,8.080375355872155,8.081596757010528,8.07285537840596,8.07068270244229,8.070936222024967,8.06725328656332,8.070517301357144,8.0685826895087,8.07433672104008
7.0,8.069825642755497,8.067156102085812,8.06389650502154,8.066092727044888,8.061526298575707,8.060685057569813,8.05794481121224,8.058314485454213,8.056107001565112,8.054874136332366,8.06164227676172
8.0,8.064580133044908,8.060317798817554,8.055194714724575,8.055948323667995,8.054680178026294,8.058003769757272,8.04992175772631,8.049993042198517,8.047181101211637,8.045654805768729,8.05414756249438
9.0,8.069872652086923,8.0652215657406,8.063997547832873,8.064321667877602,8.066026274200016,8.057807855398528,8.056446361532183,8.055256012579948,8.054808540591162,8.049606457537456,8.06033649353773
10.0,8.081726165269014,8.081545922553154,8.080695277224368,8.07920149698408,8.077805015418653,8.070955241979462,8.071065009246547,8.068491161422422,8.067777895473569,8.065218369919393,8.074448155549067
11.0,8.093977464994362,8.093292457641663,8.089568502766658,8.085228781740442,8.083717863538524,8.075841676680623,8.082421945733243,8.080234733599353,8.078342302615006,8.077536031252334,8.084016176056222
12.0,8.092326249024904,8.094226180990056,8.092368452866674,8.0871227162757,8.084470874322038,8.079086806676008,8.07966038292248,8.082009929715525,8.079191646207194,8.079741782431167,8.085020502143175
