latitude_bin,time,pH,year
-80,1.0,,2011
-80,2.0,,2011
-80,3.0,,2011
-80,4.0,,2011
-80,5.0,,2011
-80,6.0,,2011
-80,7.0,,2011
-80,8.0,,2011
-80,9.0,,2011
-80,10.0,,2011
-80,11.0,,2011
-80,12.0,,2011
-70,1.0,8.098646074170519,2011
-70,2.0,8.107165957047888,2011
-70,3.0,8.082882357618534,2011
-70,4.0,8.060334016062958,2011
-70,5.0,8.05695586165431,2011
-70,6.0,8.055237597238241,2011
-70,7.0,8.055342962166284,2011
-70,8.0,8.055687075483485,2011
-70,9.0,8.054634904717286,2011
-70,10.0,8.052339760893824,2011
-70,11.0,8.05882577576566,2011
-70,12.0,8.075528086112946,2011
-60,1.0,8.09579974015634,2011
-60,2.0,8.088758099366045,2011
-60,3.0,8.081433984573694,2011
-60,4.0,8.053799774172095,2011
-60,5.0,8.049001048425579,2011
-60,6.0,8.046745845622167,2011
-60,7.0,8.046063848233718,2011
-60,8.0,8.045882544913779,2011
-60,9.0,8.051289129308191,2011
-60,10.0,8.053425167969294,2011
-60,11.0,8.061267894450152,2011
-60,12.0,8.073677231842993,2011
-50,1.0,8.078388038082823,2011
-50,2.0,8.075079625062875,2011
-50,3.0,8.072233665903113,2011
-50,4.0,8.066074680051598,2011
-50,5.0,8.045885977498916,2011
-50,6.0,8.04343953562386,2011
-50,7.0,8.041485076686952,2011
-50,8.0,8.049658323058274,2011
-50,9.0,8.05967949272051,2011
-50,10.0,8.06061113013498,2011
-50,11.0,8.068602916899103,2011
-50,12.0,8.075407023455128,2011
-40,1.0,8.086871396058648,2011
-40,2.0,8.08636191212022,2011
-40,3.0,8.086715973525353,2011
-40,4.0,8.08535550310794,2011
-40,5.0,8.080977954126311,2011
-40,6.0,8.073268694175978,2011
-40,7.0,8.070637808038152,2011
-40,8.0,8.070011794245639,2011
-40,9.0,8.067270017511643,2011
-40,10.0,8.07513261977565,2011
-40,11.0,8.084465768943039,2011
-40,12.0,8.089185329110379,2011
-30,1.0,8.062447353196836,2011
-30,2.0,8.060954497070641,2011
-30,3.0,8.067078748765566,2011
-30,4.0,8.07877359352301,2011
-30,5.0,8.087837853610663,2011
-30,6.0,8.093000174464567,2011
-30,7.0,8.095862663173765,2011
-30,8.0,8.094785606592431,2011
-30,9.0,8.094936367069662,2011
-30,10.0,8.095728494323177,2011
-30,11.0,8.089841379428087,2011
-30,12.0,8.078072990729199,2011
-20,1.0,8.058485022646162,2011
-20,2.0,8.055018434334729,2011
-20,3.0,8.0576936052761,2011
-20,4.0,8.065778806850908,2011
-20,5.0,8.077012389751326,2011
-20,6.0,8.087594972624442,2011
-20,7.0,8.092839896914349,2011
-20,8.0,8.094454755124481,2011
-20,9.0,8.09321454174401,2011
-20,10.0,8.087564658247807,2011
-20,11.0,8.075225199526898,2011
-20,12.0,8.065156114760027,2011
-10,1.0,8.05687045518882,2011
-10,2.0,8.055678619716053,2011
-10,3.0,8.054728632290852,2011
-10,4.0,8.05695669537951,2011
-10,5.0,8.061629224830382,2011
-10,6.0,8.068095061420177,2011
-10,7.0,8.07031401900994,2011
-10,8.0,8.07123032501105,2011
-10,9.0,8.06980750284537,2011
-10,10.0,8.06656528480898,2011
-10,11.0,8.06161584810702,2011
-10,12.0,8.055682712296061,2011
0,1.0,8.023884563708801,2011
0,2.0,8.024051493555124,2011
0,3.0,8.023099954239296,2011
0,4.0,8.024244760406209,2011
0,5.0,8.026668983445354,2011
0,6.0,8.027244768761436,2011
0,7.0,8.027286444039033,2011
0,8.0,8.028888224001124,2011
0,9.0,8.027846050780443,2011
0,10.0,8.025413002243337,2011
0,11.0,8.023644710971917,2011
0,12.0,8.023472395146129,2011
10,1.0,8.04633411363804,2011
10,2.0,8.045620107071267,2011
10,3.0,8.044907090031662,2011
10,4.0,8.042038994834293,2011
10,5.0,8.04263790411646,2011
10,6.0,8.043350173521068,2011
10,7.0,8.045991305779934,2011
10,8.0,8.046924382111886,2011
10,9.0,8.048494723902586,2011
10,10.0,8.050151768486943,2011
10,11.0,8.049409709512066,2011
10,12.0,8.048395321421058,2011
20,1.0,8.071943268568347,2011
20,2.0,8.073434930196688,2011
20,3.0,8.071452963538848,2011
20,4.0,8.065502071228707,2011
20,5.0,8.058562399195313,2011
20,6.0,8.054759439972617,2011
20,7.0,8.054607946190918,2011
20,8.0,8.053620497865618,2011
20,9.0,8.054825941202308,2011
20,10.0,8.057133261265223,2011
20,11.0,8.060743283251863,2011
20,12.0,8.067456585051477,2011
30,1.0,8.094629208337395,2011
30,2.0,8.097330408003138,2011
30,3.0,8.09596073197619,2011
30,4.0,8.088929370391703,2011
30,5.0,8.073838743996541,2011
30,6.0,8.057582103874257,2011
30,7.0,8.051916202305577,2011
30,8.0,8.049489510523184,2011
30,9.0,8.051403708942981,2011
30,10.0,8.059035667580746,2011
30,11.0,8.072983953418992,2011
30,12.0,8.085131670539448,2011
40,1.0,8.104732678958795,2011
40,2.0,8.103627209491046,2011
40,3.0,8.104181204858438,2011
40,4.0,8.104958419805612,2011
40,5.0,8.094790116032655,2011
40,6.0,8.072995929211991,2011
40,7.0,8.047986293267362,2011
40,8.0,8.037254644658375,2011
40,9.0,8.045971797959368,2011
40,10.0,8.069000552546761,2011
40,11.0,8.089722734276659,2011
40,12.0,8.102440546773183,2011
50,1.0,8.071303179114942,2011
50,2.0,8.06660453523545,2011
50,3.0,8.069223326535157,2011
50,4.0,8.080110951919822,2011
50,5.0,8.088402036736571,2011
50,6.0,8.085883679687711,2011
50,7.0,8.079431740475103,2011
50,8.0,8.071818656382524,2011
50,9.0,8.08170748184413,2011
50,10.0,8.090206517022922,2011
50,11.0,8.090463482253831,2011
50,12.0,8.081665601363664,2011
60,1.0,8.056841381904956,2011
60,2.0,8.06078312182143,2011
60,3.0,8.063100574230395,2011
60,4.0,8.07434944072502,2011
60,5.0,8.104478209067082,2011
60,6.0,8.122004166473447,2011
60,7.0,8.124817054199612,2011
60,8.0,8.123038078805214,2011
60,9.0,8.117678128829517,2011
60,10.0,8.095652311931975,2011
60,11.0,8.072183709729693,2011
60,12.0,8.06035996086654,2011
70,1.0,8.082073989376372,2011
70,2.0,8.083392832820772,2011
70,3.0,8.08644515069748,2011
70,4.0,8.100443626459658,2011
70,5.0,8.13914923835786,2011
70,6.0,8.163029739273131,2011
70,7.0,8.160352269497103,2011
70,8.0,8.151595757870622,2011
70,9.0,8.139877080609226,2011
70,10.0,8.115490223315502,2011
70,11.0,8.096944833831294,2011
70,12.0,8.086592857681161,2011
80,1.0,8.087367372705435,2011
80,2.0,8.087585550332019,2011
80,3.0,8.094636431469285,2011
80,4.0,8.10280289949921,2011
80,5.0,8.127945331228783,2011
80,6.0,8.147486867352859,2011
80,7.0,8.146357272758143,2011
80,8.0,8.139990486605411,2011
80,9.0,8.125690899585287,2011
80,10.0,8.111111768552648,2011
80,11.0,8.10889360238445,2011
80,12.0,8.1031407100768,2011
-80,1.0,,2012
-80,2.0,,2012
-80,3.0,,2012
-80,4.0,,2012
-80,5.0,,2012
-80,6.0,,2012
-80,7.0,,2012
-80,8.0,,2012
-80,9.0,,2012
-80,10.0,,2012
-80,11.0,,2012
-80,12.0,,2012
-70,1.0,8.085953506432917,2012
-70,2.0,8.088856785064616,2012
-70,3.0,8.07576981613924,2012
-70,4.0,8.05810125834039,2012
-70,5.0,8.05549222832318,2012
-70,6.0,8.05402760122434,2012
-70,7.0,8.054042209309058,2012
-70,8.0,8.053259239802198,2012
-70,9.0,8.052843878780672,2012
-70,10.0,8.050103483289236,2012
-70,11.0,8.056856988628777,2012
-70,12.0,8.08896266570341,2012
-60,1.0,8.085426009729145,2012
-60,2.0,8.083200111195993,2012
-60,3.0,8.078688253894772,2012
-60,4.0,8.051773302695391,2012
-60,5.0,8.048168407138316,2012
-60,6.0,8.0458998558276,2012
-60,7.0,8.044632511145087,2012
-60,8.0,8.044529206131012,2012
-60,9.0,8.049665013958753,2012
-60,10.0,8.052897701948712,2012
-60,11.0,8.060232273020407,2012
-60,12.0,8.073928561254732,2012
-50,1.0,8.075647674488618,2012
-50,2.0,8.073754644208577,2012
-50,3.0,8.067909178745063,2012
-50,4.0,8.062162321931112,2012
-50,5.0,8.043978467087348,2012
-50,6.0,8.040788020488757,2012
-50,7.0,8.037842564345866,2012
-50,8.0,8.046963895670372,2012
-50,9.0,8.05423713063453,2012
-50,10.0,8.057087423431453,2012
-50,11.0,8.067365943767474,2012
-50,12.0,8.07643607091884,2012
-40,1.0,8.084463627921433,2012
